Id,Obs,Mdl
2073,2,0
2074,1,0
2075,2,0
2076,2,2
2077,3,0
2078,1,1
2079,2,0
2080,3,3
2081,1,0
2082,2,1
2083,2,1
2084,2,0
2085,1,0
2086,2,1
2087,2,3
2088,7,6
2089,1,0
2090,3,3
2091,1,2
2092,1,1
2093,1,1
2094,1,1
2095,1,0
2096,6,3
2097,1,0
2098,1,0
2099,1,0
2100,1,1
2101,1,1
2102,1,0
2103,4,3
2104,3,1
2105,3,1
2106,2,0
2107,1,1
2108,1,0
2109,1,1
2110,1,1
2111,1,0
2112,1,0
2113,1,0
2114,1,1
2115,1,0
2116,1,1
2117,1,0
2118,1,1
2119,2,0
2120,1,0
2121,1,0
2122,1,1
2123,1,1
2124,1,1
2125,1,1
2126,1,1
2127,1,1
2128,1,1
2129,1,1
2130,1,1
2131,1,1
2132,1,0
2133,1,1
2134,1,1
